identification ID,cell line,Identified Protein,gene symbol,Accession Number,Molecular Weight,Protein Grouping Ambiguity,hsa-let-7a-1,hsa-let-7a-2,hsa-let-7a-3,hsa-let-7b,hsa-let-7c,hsa-let-7d,hsa-let-7e,hsa-let-7f-1,hsa-let-7f-2,hsa-let-7g,hsa-let-7i,hsa-mir-98,hsa-mir-1-1,hsa-mir-1-2,hsa-mir-7-1,hsa-mir-7-2,hsa-mir-7-3,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-9-3,hsa-mir-10b,hsa-mir-15a,hsa-mir-15b,hsa-mir-16-1,hsa-mir-16-2,hsa-mir-17,hsa-mir-18a,hsa-mir-18b,hsa-mir-19a,hsa-mir-19b-1,hsa-mir-19b-2,hsa-mir-20a,hsa-mir-20b,hsa-mir-21,hsa-mir-25,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-31,hsa-mir-34a,hsa-mir-34b,hsa-mir-34c,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-93,hsa-mir-106a,hsa-mir-106b,hsa-mir-107,hsa-mir-122,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-138-1,hsa-mir-138-2,hsa-mir-140,hsa-mir-141,hsa-mir-143,hsa-mir-145,hsa-mir-155,hsa-mir-199a-1,hsa-mir-199a-2,hsa-mir-200a,hsa-mir-200b,hsa-mir-200c,hsa-mir-205,hsa-mir-206,hsa-mir-214,hsa-mir-221,hsa-mir-222,hsa-mir-363,hsa-mir-429,hsa-mir-451
"J-555,3",Jurkat,SR-related CTD associated factor 6 [Homo sapiens],CHERP,gi|25992622,104 kDa,,,2,,,,,2,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,
G-740,LN-229,SR-related CTD associated factor 6 [Homo sapiens],CHERP,gi|25992622,104 kDa,,,,,,,,4,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
"B-756,1",MCF7,SR-related CTD associated factor 6 [Homo sapiens],CHERP,gi|25992622,104 kDa,,,,,,2,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R-596,3",Raji,SR-related CTD associated factor 6 [Homo sapiens],CHERP,gi|25992622,104 kDa,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-825,1",SK-MEL-28,SR-related CTD associated factor 6 [Homo sapiens],CHERP,gi|25992622,104 kDa,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,,,,,,,,
"N-697,1",SK-N-MC,SR-related CTD associated factor 6 [Homo sapiens],CHERP,gi|25992622,104 kDa,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
"C-886,1",DLD-1,cell division cycle and apoptosis regulator protein 1 [Homo sapiens],CCAR1,gi|46852388,133 kDa,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P-1833,3",DU145,cell division cycle and apoptosis regulator protein 1 [Homo sapiens],CCAR1,gi|46852388,133 kDa,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H-1180,1",HEPG2,cell division cycle and apoptosis regulator protein 1 [Homo sapiens],CCAR1,gi|46852388,133 kDa,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
"J-844,1",Jurkat,cell division cycle and apoptosis regulator protein 1 [Homo sapiens],CCAR1,gi|46852388,133 kDa,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G-1011,1",LN-229,cell division cycle and apoptosis regulator protein 1 [Homo sapiens],CCAR1,gi|46852388,133 kDa,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
C-686,DLD-1,splicing factor 45 [Homo sapiens],RBM17,gi|14249678,45 kDa,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
P-1202,DU145,splicing factor 45 [Homo sapiens],RBM17,gi|14249678,45 kDa,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
H-1499,HEPG2,splicing factor 45 [Homo sapiens],RBM17,gi|14249678,45 kDa,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J-663,Jurkat,splicing factor 45 [Homo sapiens],RBM17,gi|14249678,45 kDa,,,,,,,,,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-674,LN-229,splicing factor 45 [Homo sapiens],RBM17,gi|14249678,45 kDa,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,,,,2,,,,,,,,,,,,,
B-742,MCF7,splicing factor 45 [Homo sapiens],RBM17,gi|14249678,45 kDa,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,
R-539,Raji,splicing factor 45 [Homo sapiens],RBM17,gi|14249678,45 kDa,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-1005,SK-MEL-28,splicing factor 45 [Homo sapiens],RBM17,gi|14249678,45 kDa,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-896,SK-N-MC,splicing factor 45 [Homo sapiens],RBM17,gi|14249678,45 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
"C-1037,2",DLD-1,RNA-binding protein 5 [Homo sapiens],RBM5,gi|5032031,92 kDa,true,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H-1570,2",HEPG2,RNA-binding protein 5 [Homo sapiens],RBM5,gi|5032031,92 kDa,true,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J-827,1",Jurkat,RNA-binding protein 5 [Homo sapiens],RBM5,gi|5032031,92 kDa,true,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G-1127,1",LN-229,RNA-binding protein 5 [Homo sapiens],RBM5,gi|5032031,92 kDa,true,,,,,,,3,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-1086,1",SK-MEL-28,RNA-binding protein 5 [Homo sapiens],RBM5,gi|5032031,92 kDa,true,,,,,,2,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N-959,2",SK-N-MC,RNA-binding protein 5 [Homo sapiens],RBM5,gi|5032031,92 kDa,true,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L-612,3",A549,intron-binding protein aquarius [Homo sapiens],AQR,gi|38788372,171 kDa,true,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C-778,3",DLD-1,intron-binding protein aquarius [Homo sapiens],AQR,gi|38788372,171 kDa,true,,,,,,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P-530,2",DU145,intron-binding protein aquarius [Homo sapiens],AQR,gi|38788372,171 kDa,true,,,,,,,2,,,10,11,,3,,7,3,2,,,,,,2,,,,,,,,5,,,,5,4,,,,4,9,9,,,,,,6,2,,,3,,,,,,3,,,,,2,2,3,,,,,,5,4
"H-915,1",HEPG2,intron-binding protein aquarius [Homo sapiens],AQR,gi|38788372,171 kDa,,,,,,,,,,,13,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,5,,,,,,,,,,,,,,,,,3,2,2,,2,,,
"J-530,1",Jurkat,intron-binding protein aquarius [Homo sapiens],AQR,gi|38788372,171 kDa,,,,,,,,4,,,11,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G-909,2",LN-229,intron-binding protein aquarius [Homo sapiens],AQR,gi|38788372,171 kDa,,,,,,,,2,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B-754,2",MCF7,intron-binding protein aquarius [Homo sapiens],AQR,gi|38788372,171 kDa,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
"T-478,1",NTERA-2,intron-binding protein aquarius [Homo sapiens],AQR,gi|38788372,171 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
"M-894,1",SK-MEL-28,intron-binding protein aquarius [Homo sapiens],AQR,gi|38788372,171 kDa,true,2,,,,,,,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-561,SK-N-MC,intron-binding protein aquarius [Homo sapiens],AQR,gi|38788372,171 kDa,true,,2,,,,,11,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
"C-881,2",DLD-1,pre-mRNA-splicing factor SYF1 [Homo sapiens],XAB2,gi|55770906,100 kDa,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H-1437,4",HEPG2,pre-mRNA-splicing factor SYF1 [Homo sapiens],XAB2,gi|55770906,100 kDa,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
"J-837,4",Jurkat,pre-mRNA-splicing factor SYF1 [Homo sapiens],XAB2,gi|55770906,100 kDa,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G-1097,4",LN-229,pre-mRNA-splicing factor SYF1 [Homo sapiens],XAB2,gi|55770906,100 kDa,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T-646,3",NTERA-2,pre-mRNA-splicing factor SYF1 [Homo sapiens],XAB2,gi|55770906,100 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-1048,2",SK-MEL-28,pre-mRNA-splicing factor SYF1 [Homo sapiens],XAB2,gi|55770906,100 kDa,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N-878,3",SK-N-MC,pre-mRNA-splicing factor SYF1 [Homo sapiens],XAB2,gi|55770906,100 kDa,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-1036,DLD-1,GC-rich sequence DNA-binding factor 1 isoform 1 [Homo sapiens],PAXBP1,gi|22035565,105 kDa,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J-809,Jurkat,GC-rich sequence DNA-binding factor 1 isoform 1 [Homo sapiens],PAXBP1,gi|22035565,105 kDa,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-1125,SK-MEL-28,GC-rich sequence DNA-binding factor 1 isoform 1 [Homo sapiens],PAXBP1,gi|22035565,105 kDa,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P-895,1",DU145,transcriptional activator protein Pur-alpha [Homo sapiens],PURA,gi|5032007,35 kDa,true,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,2,2,,2,,4,,,,,2,3,7,,,,,,2,,2,6,5,,,,,2,,,,,,,,,,,,2,,,
"J-694,1",Jurkat,transcriptional activator protein Pur-alpha [Homo sapiens],PURA,gi|5032007,35 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,
"G-339,1",LN-229,transcriptional activator protein Pur-alpha [Homo sapiens],PURA,gi|5032007,35 kDa,true,2,,5,5,,3,2,3,3,2,6,,,,3,2,,,3,,,,4,,,2,,,2,,,,3,2,4,,3,,3,2,,4,,,,,,,,,7,5,,,,,,,,,,,,,,,,2,2,,2,
"B-345,1",MCF7,transcriptional activator protein Pur-alpha [Homo sapiens],PURA,gi|5032007,35 kDa,true,,,,2,,,,2,,4,3,,2,,4,,,,,,,,3,,,3,,2,3,2,,,2,2,4,,2,,,,2,5,3,,2,3,,2,,,2,4,,,2,,2,,3,2,,,,4,3,,,4,3,2,3,
"R-494,1",Raji,transcriptional activator protein Pur-alpha [Homo sapiens],PURA,gi|5032007,35 kDa,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-721,SK-MEL-28,PREDICTED: transcriptional activator protein Pur-alpha-like isoform 1 [Pongo abelii],PURA,gi|297676133,42 kDa,true,,,,,2,,2,,,,3,,,,,,,,,,,,2,,2,,,,3,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,
"N-789,1",SK-N-MC,transcriptional activator protein Pur-alpha [Homo sapiens],PURA,gi|5032007,35 kDa,true,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-1112,DU145,transcriptional activator protein Pur-beta [Homo sapiens],PURB,gi|15147219,33 kDa,true,,,,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,4,,,,,2,,5,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,
J-621,Jurkat,transcriptional activator protein Pur-beta [Homo sapiens],PURB,gi|15147219,33 kDa,true,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,,,,,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-721,LN-229,transcriptional activator protein Pur-beta [Homo sapiens],PURB,gi|15147219,33 kDa,true,,,3,,,,,,,3,6,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,2,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
T-508,NTERA-2,transcriptional activator protein Pur-beta [Homo sapiens],PURB,gi|15147219,33 kDa,true,,,,,,,,,,,,,,,,,7,,5,,,,,,,,,,,,,,,,6,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-566,Raji,transcriptional activator protein Pur-beta [Homo sapiens],PURB,gi|15147219,33 kDa,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-619,SK-N-MC,transcriptional activator protein Pur-beta [Homo sapiens],PURB,gi|15147219,33 kDa,true,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
L-621,A549,"Procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1 [Homo sapiens]",PLOD1,gi|16741721,84 kDa,,,,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-411,DLD-1,"Procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1 [Homo sapiens]",PLOD1,gi|16741721,84 kDa,,4,10,,,2,6,,2,2,2,,20,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,12,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,4,,
"H-917,2",HEPG2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 precursor [Homo sapiens]",PLOD1,gi|32307144,84 kDa,,2,2,,,4,,,4,,3,,9,,,,,,,,,,,,,,,4,6,2,,,,,,,,,,,,3,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,
G-490,LN-229,"Procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1 [Homo sapiens]",PLOD1,gi|16741721,84 kDa,,11,10,4,,6,2,3,3,7,3,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
T-310,NTERA-2,"Procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1 [Homo sapiens]",PLOD1,gi|16741721,84 kDa,,4,4,6,,3,,2,,2,5,,8,,,,,3,,,,,,,,,,,,,,,3,,,,,2,,,,4,,,,,,,,,,,16,,,,3,,,,,,,,,,,,3,,2,,
M-224,SK-MEL-28,"Procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1 [Homo sapiens]",PLOD1,gi|16741721,84 kDa,,14,18,,4,,13,6,13,7,11,3,15,,3,,2,,5,2,,5,3,3,,,3,13,14,5,4,,10,,,,,2,,,,12,4,,,,,,,,2,,12,,,,2,3,,,,2,,,,,2,3,3,2,5,,
N-436,SK-N-MC,"Procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1 [Homo sapiens]",PLOD1,gi|16741721,84 kDa,,9,7,4,,2,,7,,10,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
L-315,A549,heterogeneous nuclear ribonucleoprotein A0 [Homo sapiens],HNRNPA0,gi|5803036,31 kDa,true,,,,,,,,,,,,7,,,,,,,,,,,,,,,8,4,2,,,20,3,,,,6,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
C-214,DLD-1,heterogeneous nuclear ribonucleoprotein A0 [Homo sapiens],HNRNPA0,gi|5803036,31 kDa,,3,3,2,2,7,3,2,3,,2,,33,,,,,,3,,,,5,4,,4,,12,8,4,2,,38,8,,2,2,15,6,3,,4,3,7,,2,,3,2,,,2,26,,,,2,,2,,,4,2,,,,,2,5,,12,,2
P-298,DU145,heterogeneous nuclear ribonucleoprotein A0 [Homo sapiens],HNRNPA0,gi|5803036,31 kDa,,3,9,4,2,8,2,,2,3,5,4,37,,2,4,,2,3,3,,,,3,,2,6,24,11,6,2,9,32,4,2,3,3,6,,5,3,8,2,9,2,,3,3,2,2,2,2,24,2,,,2,,5,2,,2,,,2,2,,2,3,5,13,,4
H-551,HEPG2,heterogeneous nuclear ribonucleoprotein A0 [Homo sapiens],HNRNPA0,gi|5803036,31 kDa,,5,4,,,3,4,,,,,,31,,2,2,,,,,,,,,,,2,6,4,3,4,2,25,3,,,,6,2,,,,,,,,,2,,,,,8,,,,4,2,,,2,2,,,,2,,,3,,,,2
J-169,Jurkat,heterogeneous nuclear ribonucleoprotein A0 [Homo sapiens],HNRNPA0,gi|5803036,31 kDa,,8,8,6,4,7,9,,3,2,3,,28,,,,,,,,,,,2,,,4,7,3,5,,2,26,4,3,,,3,,2,,,3,3,,2,6,3,,,,,12,,,,,2,,,,,,2,,2,,,4,7,14,2,2
G-122,LN-229,heterogeneous nuclear ribonucleoprotein A0 [Homo sapiens],HNRNPA0,gi|5803036,31 kDa,,25,21,22,10,26,18,6,21,15,19,6,44,,,,2,2,5,7,2,3,5,8,3,3,7,22,21,17,5,7,38,6,2,6,,14,,2,2,6,6,8,,,,3,,,2,,16,2,,,2,4,,,,3,,3,,,,,9,6,19,,2
B-215,MCF7,heterogeneous nuclear ribonucleoprotein A0 [Homo sapiens],HNRNPA0,gi|5803036,31 kDa,,5,6,5,2,4,4,,,3,2,,33,2,,,,,,,,,,3,,2,3,21,8,4,2,,28,6,2,,,8,2,2,,4,3,4,,,,15,2,,,3,19,,,,5,,2,,,,,2,,2,,,5,2,13,2,2
T-123,NTERA-2,heterogeneous nuclear ribonucleoprotein A0 [Homo sapiens],HNRNPA0,gi|5803036,31 kDa,,4,8,4,,13,3,3,5,2,2,,12,2,,,,,,,,,,5,2,5,3,6,2,7,4,8,43,5,4,2,2,8,,2,,,6,9,,,,2,,2,,2,23,2,,,4,3,3,4,2,2,,,,,,2,10,2,6,,
R-135,Raji,heterogeneous nuclear ribonucleoprotein A0 [Homo sapiens],HNRNPA0,gi|5803036,31 kDa,,8,4,10,6,9,7,,6,9,12,2,23,,,,,,3,,,,,,,,,17,10,11,,,17,,3,,,,,,,,,5,,,,3,,,,3,11,,,,5,,,,,,,,,,,,,9,9,,
M-413,SK-MEL-28,heterogeneous nuclear ribonucleoprotein A0 [Homo sapiens],HNRNPA0,gi|5803036,31 kDa,,,4,,,,,,,,2,2,28,,,,,,2,,,,,2,,,,13,5,3,2,,26,,,,,13,,,,,,2,,,,2,,,,,,,,,,,2,,,,,,,,,,,,7,,
N-106,SK-N-MC,heterogeneous nuclear ribonucleoprotein A0 [Homo sapiens],HNRNPA0,gi|5803036,31 kDa,,11,14,15,5,17,7,3,9,7,,2,30,3,,2,9,6,4,2,,2,,4,5,6,3,19,10,11,5,3,46,4,4,2,2,9,4,2,13,5,10,14,5,2,,7,2,2,2,3,22,3,2,7,6,7,4,6,9,9,,3,6,3,3,4,3,5,2,3,7
L-33,A549,heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens],HNRNPA1,gi|14043070,39 kDa,true,16,31,8,10,18,31,10,13,10,10,5,22,,,3,2,,11,7,9,9,10,11,8,7,13,33,39,23,19,8,23,9,12,4,6,11,5,7,,15,17,16,2,2,4,,,,,2,13,5,4,3,,3,3,4,6,4,,,,3,3,5,,3,4,,12
C-52,DLD-1,heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens],HNRNPA1,gi|14043070,39 kDa,true,16,30,12,11,18,23,12,17,11,13,8,62,7,2,10,,11,11,6,6,11,23,25,8,19,13,23,50,16,10,6,28,5,2,5,7,17,13,12,6,41,17,30,13,9,5,9,4,4,7,8,44,10,4,9,9,17,14,9,3,13,6,13,9,6,,3,10,11,32,12,10
P-56,DU145,heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens],HNRNPA1,gi|14043070,39 kDa,true,22,61,30,14,39,33,10,22,25,45,20,111,7,13,16,9,8,19,24,16,11,10,19,14,7,16,37,56,19,7,19,32,8,8,10,11,11,8,14,21,35,19,25,10,13,14,17,13,16,20,16,84,15,7,7,14,15,18,9,5,9,19,11,11,9,9,16,17,22,47,12,20
H-123,HEPG2,heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens],HNRNPA1,gi|14043070,39 kDa,true,19,43,15,14,17,35,8,11,10,12,9,65,11,16,14,11,14,4,,4,,9,11,8,8,9,23,37,17,12,9,31,10,5,9,8,10,10,5,6,28,12,14,10,7,7,17,11,13,16,14,40,12,9,11,17,19,18,9,13,16,10,7,8,5,13,11,12,14,11,2,22
J-30,Jurkat,heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens],HNRNPA1,gi|14043070,39 kDa,true,32,52,37,16,37,28,8,23,28,46,10,59,,,,,,11,19,9,4,2,12,5,6,18,26,41,9,8,6,36,14,8,11,7,7,2,4,3,21,8,17,6,9,10,6,4,,3,5,44,4,5,,4,13,7,2,7,6,6,6,2,8,4,7,14,16,26,11,13
G-15,LN-229,heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens],HNRNPA1,gi|14043070,39 kDa,true,71,124,100,54,114,67,43,81,80,94,37,103,11,7,8,16,13,22,46,15,14,17,28,13,9,56,79,129,49,24,26,86,31,17,16,9,35,11,16,34,37,16,46,13,8,6,22,10,11,11,15,49,9,4,3,9,21,9,12,11,13,11,13,12,7,9,6,25,28,43,11,16
B-40,MCF7,heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens],HNRNPA1,gi|14043070,39 kDa,true,31,61,23,15,37,37,11,17,36,21,7,86,3,4,2,4,4,7,7,4,7,9,14,9,8,27,41,56,16,9,9,30,14,6,9,7,13,9,12,5,38,16,20,15,10,9,18,11,4,7,18,64,4,4,6,19,9,20,8,2,2,5,7,10,9,4,2,14,13,34,8,9
T-6,NTERA-2,heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens],HNRNPA1,gi|14043070,39 kDa,true,23,74,45,11,63,20,9,28,31,29,5,47,5,6,4,10,8,7,18,4,8,5,37,27,114,27,22,17,22,22,8,40,17,11,15,9,8,7,10,11,42,22,42,9,7,4,11,8,10,5,7,79,6,5,5,19,19,21,23,5,12,6,5,3,4,2,11,30,11,23,8,6
R-18,Raji,heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens],HNRNPA1,gi|14043070,39 kDa,true,41,68,50,25,72,44,12,45,55,72,16,71,,,,,,12,28,5,6,5,13,8,8,28,52,87,21,15,2,52,26,7,7,5,10,2,7,,32,8,40,7,5,2,10,5,,,11,55,,,,11,,6,7,,,4,7,2,3,,,14,22,26,4,8
M-175,SK-MEL-28,heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens],HNRNPA1,gi|14043070,39 kDa,true,9,31,2,6,3,19,3,5,3,8,2,43,,11,,,4,2,4,,3,,6,2,3,2,20,21,10,3,3,24,,,2,3,7,2,4,,18,4,4,4,2,,6,,,2,13,3,,,5,,10,2,2,,,,,,,,,4,3,29,4,10
N-19,SK-N-MC,heterogeneous nuclear ribonucleoprotein A1 isoform b [Homo sapiens],HNRNPA1,gi|14043070,39 kDa,true,40,73,50,26,57,40,27,40,27,3,14,54,17,11,18,25,23,15,15,13,11,13,16,16,19,18,35,72,26,25,13,30,16,17,16,11,15,10,8,37,31,18,29,17,13,8,18,12,11,13,11,55,17,16,16,16,29,19,22,18,20,15,17,14,11,11,17,11,14,16,7,16
